,FIPS,state2,cdid116,inputstate,birthyr,cces.year,countyfips,dem,educ,educ.int,gender,hispanic,ideo5,newsint,partydefender,perceive_extreme,perceive_extreme_very,party,pid,pid3,pid7,polint,progressive,race,reformer,reformer_local,rep,RCO321,RCO321_a,RCO321_dk,RCO321_dm,RCO321_na,RCO321_np,RCO321_p,RCO321_pref,RCO322,RCO322_a,RCO322_dk,RCO322_dm,RCO322_na,RCO322_np,RCO322_p,RCO322_pref,RCO323,RCO323_a,RCO323_dk,RCO323_dm,RCO323_na,RCO323_np,RCO323_p,RCO323_pref,RCO324,RCO324_a,RCO324_dk,RCO324_dm,RCO324_na,RCO324_np,RCO324_p,RCO324_pref,RCO325,RCO325_a,RCO325_dk,RCO325_dm,RCO325_na,RCO325_np,RCO325_p,RCO325_pref,RCO326,RCO326_a,RCO326_dk,RCO326_dm,RCO326_na,RCO326_np,RCO326_p,RCO326_pref,RCO327,RCO327_a,RCO327_dk,RCO327_dm,RCO327_na,RCO327_np,RCO327_p,RCO327_pref,states_p_sb,states_p_sheriff,states_p_da,states_a_da,X2018_GovFlip,X2018_LegFlip,X2018_SenFlip,X2018_HouseFlip,X2018Pre_RepubGovControl,X2018Pre_DemTriControl,X2018Pre_RepTriControl,biden2020,trump2020,state,state_po,county,avg_d_voteshare2party,avg_r_voteshare2party,Pres_Vote
1295,37105,NC,6,North Carolina,2000,2020,37105,0,High school graduate,1,Female,No,Conservative,Some of the time,0,0,0,Ind,Republican,Independent,Lean Republican,3,0,White,4,4,0,I'm not sure,0,1,0,1,0,0,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,61.6,37.2,North Carolina,NC,Lee,43.29432199,56.70567801,Lean Republican
1296,37113,NC,11,North Carolina,1966,2018,37113,1,4-year,4,Female,No,Very liberal,Most of the time,7,1,1,Dem,Democrat,Democrat,Strong Democrat,4,0,White,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,43.3,55.4,North Carolina,NC,Macon,28.67729224,71.32270776,Solid Republican
1297,37119,NC,12,North Carolina,1961,2018,37119,0,4-year,4,Male,No,Moderate,Most of the time,5,0,0,Ind,Democrat,Independent,Lean Democrat,4,0,White,2,2,0,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,70.1,28.5,North Carolina,NC,Mecklenburg,65.44658727,34.55341273,Solid Democrat
1298,37119,NC,12,North Carolina,1966,2020,37119,1,Post-grad,5,Female,No,Liberal,Most of the time,0,1,1,Dem,Democrat,Democrat,Strong Democrat,4,0,Black,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,70.1,28.5,North Carolina,NC,Mecklenburg,65.44658727,34.55341273,Solid Democrat
1300,37119,NC,12,North Carolina,1993,2020,37119,1,High school graduate,1,Female,No,Very liberal,Some of the time,1,1,0,Dem,Democrat,Democrat,Not very strong Democrat,3,0,White,3,3,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,I'm not sure,0,1,0,1,0,0,0,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,70.1,28.5,North Carolina,NC,Mecklenburg,65.44658727,34.55341273,Solid Democrat
1301,37119,NC,12,North Carolina,1942,2020,37119,0,4-year,4,Female,No,Conservative,Most of the time,4,1,1,Rep,Republican,Republican,Not very strong Republican,4,0,White,3,3,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,70.1,28.5,North Carolina,NC,Mecklenburg,65.44658727,34.55341273,Solid Democrat
1302,37119,NC,12,North Carolina,1979,2018,37119,1,4-year,4,Female,No,Not sure,Some of the time,1,0,0,Dem,Democrat,Democrat,Strong Democrat,3,0,Black,5,4,0,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,70.1,28.5,North Carolina,NC,Mecklenburg,65.44658727,34.55341273,Solid Democrat
1303,37119,NC,9,North Carolina,1969,2020,37119,1,4-year,4,Female,No,Liberal,Most of the time,4,1,0,Dem,Democrat,Democrat,Strong Democrat,4,0,White,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,45.5,53.4,North Carolina,NC,Mecklenburg,65.44658727,34.55341273,Solid Democrat
1304,37119,NC,12,North Carolina,1992,2020,37119,1,2-year,3,Female,No,Moderate,Some of the time,7,1,1,Dem,Democrat,Democrat,Not very strong Democrat,3,0,Asian,0,0,0,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,70.1,28.5,North Carolina,NC,Mecklenburg,65.44658727,34.55341273,Solid Democrat
1305,37119,NC,12,North Carolina,2002,2020,37119,0,Some college,2,Female,No,Moderate,Only now and then,0,0,0,Ind,Republican,Independent,Lean Republican,2,0,White,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,70.1,28.5,North Carolina,NC,Mecklenburg,65.44658727,34.55341273,Solid Democrat
1306,37119,NC,12,North Carolina,1980,2020,37119,0,4-year,4,Female,No,Liberal,Most of the time,1,0,0,Ind,Democrat,Independent,Lean Democrat,4,0,White,6,5,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,70.1,28.5,North Carolina,NC,Mecklenburg,65.44658727,34.55341273,Solid Democrat
1307,37119,NC,12,North Carolina,1988,2018,37119,0,4-year,4,Female,No,Moderate,Only now and then,0,0,0,Ind,Democrat,Independent,Lean Democrat,2,0,White,6,4,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,I don't think it matters,0,0,1,1,0,0,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,70.1,28.5,North Carolina,NC,Mecklenburg,65.44658727,34.55341273,Solid Democrat
1308,37127,NC,2,North Carolina,1984,2020,37127,0,2-year,3,Female,No,Moderate,Some of the time,5,0,0,Ind,Republican,Independent,Lean Republican,3,0,White,0,0,0,I'm not sure,0,1,0,1,0,0,0,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,I'm not sure,0,1,0,1,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,64.3,34,North Carolina,NC,Nash,49.90978219,50.09021781,Lean Republican
1310,37129,NC,7,North Carolina,1966,2020,37129,0,Some college,2,Male,No,Very liberal,Most of the time,2,0,0,Ind,Democrat,Independent,Lean Democrat,4,0,White,5,3,0,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,40.7,58.1,North Carolina,NC,New Hanover,47.94729268,52.05270732,Lean Republican
1311,37135,NC,4,North Carolina,1991,2020,37135,0,High school graduate,1,Male,No,Moderate,Most of the time,7,0,0,Ind,Democrat,Independent,Lean Democrat,4,0,Black,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,66.6,32.2,North Carolina,NC,Orange,76.35448522,23.64551478,Solid Democrat
1312,37135,NC,4,North Carolina,1987,2018,37135,0,4-year,4,Male,No,Moderate,Most of the time,0,0,0,Ind,Democrat,Independent,Lean Democrat,4,0,Asian,7,5,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,66.6,32.2,North Carolina,NC,Orange,76.35448522,23.64551478,Solid Democrat
1313,37135,NC,4,North Carolina,1939,2018,37135,1,Post-grad,5,Male,No,Very liberal,Most of the time,5,1,1,Dem,Democrat,Democrat,Strong Democrat,4,0,White,2,2,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,66.6,32.2,North Carolina,NC,Orange,76.35448522,23.64551478,Solid Democrat
1314,37135,NC,4,North Carolina,1955,2018,37135,1,Post-grad,5,Female,No,Very liberal,Most of the time,1,1,1,Dem,Democrat,Democrat,Strong Democrat,4,0,White,6,5,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,66.6,32.2,North Carolina,NC,Orange,76.35448522,23.64551478,Solid Democrat
1315,37135,NC,4,North Carolina,1988,2018,37135,0,Post-grad,5,Male,No,Not sure,Most of the time,2,0,0,Ind,Democrat,Independent,Lean Democrat,4,1,Mixed,5,5,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,66.6,32.2,North Carolina,NC,Orange,76.35448522,23.64551478,Solid Democrat
1316,37147,NC,3,North Carolina,1968,2018,37147,1,4-year,4,Female,No,Moderate,Some of the time,5,1,0,Dem,Democrat,Democrat,Strong Democrat,3,0,Black,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,37.7,60.9,North Carolina,NC,Pitt,53.95600851,46.04399149,Lean Democrat
1318,37157,NC,6,North Carolina,1981,2018,37157,0,2-year,3,Female,No,Moderate,Most of the time,0,0,0,Ind,Democrat,Independent,Lean Democrat,4,0,White,7,5,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,61.6,37.2,North Carolina,NC,Rockingham,34.65341712,65.34658288,Solid Republican
1320,37179,NC,9,North Carolina,1982,2020,37179,0,Post-grad,5,Female,No,Very conservative,Only now and then,NA,0,0,Ind,Republican,Independent,Lean Republican,2,0,White,NA,NA,0,I'm not sure,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,I'm not sure,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,I'm not sure,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,I'm not sure,0,1,0,1,0,0,0,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,45.5,53.4,North Carolina,NC,Union,33.98222557,66.01777443,Solid Republican
1321,37183,NC,2,North Carolina,1967,2018,37183,1,Post-grad,5,Female,No,Liberal,Most of the time,5,1,0,Dem,Democrat,Democrat,Strong Democrat,4,0,White,0,0,0,I'm not sure,0,1,0,1,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,I'm not sure,0,1,0,1,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,64.3,34,North Carolina,NC,Wake,60.69067275,39.30932725,Lean Democrat
1322,37183,NC,2,North Carolina,1947,2020,37183,0,2-year,3,Male,No,Conservative,Most of the time,0,0,0,Ind,Republican,Independent,Lean Republican,4,0,White,7,5,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,64.3,34,North Carolina,NC,Wake,60.69067275,39.30932725,Lean Democrat
1323,37183,NC,2,North Carolina,1999,2020,37183,0,No HS,1,Male,No,Moderate,Some of the time,7,1,0,Rep,Republican,Republican,Not very strong Republican,3,0,White,0,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,64.3,34,North Carolina,NC,Wake,60.69067275,39.30932725,Lean Democrat
1324,37183,NC,4,North Carolina,1953,2020,37183,1,2-year,3,Female,No,Moderate,Most of the time,7,1,1,Dem,Democrat,Democrat,Strong Democrat,4,0,Black,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,66.6,32.2,North Carolina,NC,Wake,60.69067275,39.30932725,Lean Democrat
1325,37183,NC,2,North Carolina,1964,2018,37183,1,4-year,4,Female,No,Moderate,Most of the time,0,1,1,Dem,Democrat,Democrat,Strong Democrat,4,0,White,7,5,0,I'm not sure,0,1,0,1,0,0,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,64.3,34,North Carolina,NC,Wake,60.69067275,39.30932725,Lean Democrat
1326,37193,NC,5,North Carolina,1991,2020,37193,0,High school graduate,1,Female,No,Very conservative,Some of the time,0,0,0,Rep,Republican,Republican,Strong Republican,3,0,White,0,0,1,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,31.6,67.4,North Carolina,NC,Wilkes,21.84271142,78.15728858,Solid Republican
1327,37193,NC,5,North Carolina,1998,2020,37193,0,Some college,2,Female,No,Not sure,Only now and then,2,0,0,Rep,Republican,Republican,Not very strong Republican,2,0,White,3,2,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,NA,1,1,0,NA,NA,NA,NA,0,NA,NA,31.6,67.4,North Carolina,NC,Wilkes,21.84271142,78.15728858,Solid Republican
1328,38017,ND,1,North Dakota,1961,2018,38017,1,Post-grad,5,Male,No,Very liberal,Most of the time,2,1,1,Dem,Democrat,Democrat,Strong Democrat,4,1,White,5,5,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,1,1,0,NA,NA,NA,NA,1,NA,NA,31.9,65.5,North Dakota,ND,Cass,44.06058137,55.93941863,Lean Republican
1329,38017,ND,1,North Dakota,1994,2020,38017,0,4-year,4,Female,No,Very liberal,Some of the time,0,0,0,Ind,Democrat,Independent,Lean Democrat,3,0,White,7,5,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,0,1,1,0,NA,NA,NA,NA,1,NA,NA,31.9,65.5,North Dakota,ND,Cass,44.06058137,55.93941863,Lean Republican
1330,38023,ND,1,North Dakota,1991,2018,38023,0,4-year,4,Male,No,Very liberal,Most of the time,2,0,0,Ind,Democrat,Independent,Lean Democrat,4,0,White,4,4,0,I'm not sure,0,1,0,1,0,0,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,I'm not sure,0,1,0,1,0,0,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,1,1,0,NA,NA,NA,NA,1,NA,NA,31.9,65.5,North Dakota,ND,Divide,22.0323741,77.9676259,Solid Republican
1332,38071,ND,1,North Dakota,1976,2018,38071,0,2-year,3,Male,No,Very conservative,Most of the time,4,1,1,Rep,Republican,Republican,Strong Republican,4,0,White,3,3,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,1,1,0,NA,NA,NA,NA,1,NA,NA,31.9,65.5,North Dakota,ND,Ramsey,31.8720881,68.1279119,Solid Republican
1333,38101,ND,1,North Dakota,1968,2018,38101,0,Post-grad,5,Female,No,Very conservative,Most of the time,2,0,0,Ind,Republican,Independent,Lean Republican,4,1,White,5,5,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,1,1,0,NA,NA,NA,NA,1,NA,NA,31.9,65.5,North Dakota,ND,Ward,23.7541936,76.2458064,Solid Republican
1334,38101,ND,1,North Dakota,1993,2020,38101,0,High school graduate,1,Female,No,Conservative,Some of the time,7,0,0,Rep,Republican,Republican,Strong Republican,3,0,White,0,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,1,1,0,NA,NA,NA,NA,1,NA,NA,31.9,65.5,North Dakota,ND,Ward,23.7541936,76.2458064,Solid Republican
